"BGC_A","BGC_B","Jaccard"
"GR_FA,FA-unasgd,Pyr2acet-form","Pyr2acet-form",0
"GR_FA,Pyr2acet-form,FA-unasgd","Pyr2acet-form",0
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","Pyr2acet-form",0
"Nit_reduct","Pyr2acet-form",0.428571428571429
"Others_HGD_unasgd","Pyr2acet-form",0.0166666666666667
"Oxid_gly","Pyr2acet-form",0.0166666666666667
"Pyr2acet-form","Pyr2acet-form",1
"Acet2but","Succin2prop,Putr2sper",1
"Arg2Hcarb","Succin2prop,Putr2sper",0
"Caf_respir","Succin2prop,Putr2sper",0
"Caf_respir,FA-unasgd","Succin2prop,Putr2sper",0
"FA-Unasgd","Succin2prop,Putr2sper",0
"FA-unasgd,caf_respir","Succin2prop,Putr2sper",0
"FA-unasgd,GR_FA,Pyr2acet-form","Succin2prop,Putr2sper",0
"Fum2succin","Succin2prop,Putr2sper",0.00980392156862745
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","Succin2prop,Putr2sper",0
"GR_FA,FA-unasgd,Pyr2acet-form","Succin2prop,Putr2sper",0
"GR_FA,Pyr2acet-form,FA-unasgd","Succin2prop,Putr2sper",0
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","Succin2prop,Putr2sper",0
"Nit_reduct","Succin2prop,Putr2sper",0
"Others_HGD_unasgd","Succin2prop,Putr2sper",0
"Oxid_gly","Succin2prop,Putr2sper",0
"Pyr2acet-form","Succin2prop,Putr2sper",0.0166666666666667
"Succin2prop,Putr2sper","Succin2prop,Putr2sper",1
"Acet2but","TPP_AA_metab",0.0119047619047619
"Arg2Hcarb","TPP_AA_metab",0.728155339805825
"Caf_respir","TPP_AA_metab",0.0119047619047619
"Caf_respir,FA-unasgd","TPP_AA_metab",0.114942528735632
"FA-Unasgd","TPP_AA_metab",0.288659793814433
"FA-unasgd,caf_respir","TPP_AA_metab",0.0352941176470588
"FA-unasgd,GR_FA,Pyr2acet-form","TPP_AA_metab",0.0119047619047619
"Fum2succin","TPP_AA_metab",0.771428571428571
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","TPP_AA_metab",0.103448275862069
"GR_FA,FA-unasgd,Pyr2acet-form","TPP_AA_metab",0.178571428571429
"GR_FA,Pyr2acet-form,FA-unasgd","TPP_AA_metab",0.117647058823529
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","TPP_AA_metab",0.0714285714285714
"Nit_reduct","TPP_AA_metab",0.74
"Others_HGD_unasgd","TPP_AA_metab",0
"Oxid_gly","TPP_AA_metab",0
"Pyr2acet-form","TPP_AA_metab",0.411764705882353
"Succin2prop,Putr2sper","TPP_AA_metab",0.0119047619047619
"TPP_AA_metab","TPP_AA_metab",1
"Acet2but","TPP_FA",0
"Arg2Hcarb","TPP_FA",0.74
"Caf_respir","TPP_FA",0
"Caf_respir,FA-unasgd","TPP_FA",0.107142857142857
"FA-Unasgd","TPP_FA",0.301075268817204
"FA-unasgd,caf_respir","TPP_FA",0.037037037037037
"FA-unasgd,GR_FA,Pyr2acet-form","TPP_FA",0.0125
"Fum2succin","TPP_FA",0.75
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","TPP_FA",0.108433734939759
"GR_FA,FA-unasgd,Pyr2acet-form","TPP_FA",0.17283950617284
"GR_FA,Pyr2acet-form,FA-unasgd","TPP_FA",0.109756097560976
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","TPP_FA",0.075
"Nit_reduct","TPP_FA",0.683168316831683
"Others_HGD_unasgd","TPP_FA",0.0125
"Oxid_gly","TPP_FA",0.0125
"Pyr2acet-form","TPP_FA",0.414141414141414
"Succin2prop,Putr2sper","TPP_FA",0
"TPP_AA_metab","TPP_FA",0.656565656565657
"TPP_FA","TPP_FA",1
